Customer_ID,Customer_Name,Segment,City,State,Postal_Code,Region
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South
DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,90036,West
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West
AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027,South
IM-15070,Irene Maddox,Consumer,Seattle,Washington,98103,West
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central
PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,53711,Central
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,84084,West
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West
KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025,Central
SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,19140,East
EB-13870,Emily Burns,Consumer,Orem,Utah,84057,West
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East
MA-17560,Matt Abelman,Home Office,Houston,Texas,77095,Central
GH-14485,Gene Hale,Corporate,Richardson,Texas,75080,Central
SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041,Central
LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,60540,Central
RA-19885,Ruben Ausman,Corporate,Los Angeles,California,90049,West
ES-14080,Erin Smith,Corporate,Melbourne,Florida,32935,South
ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central
PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,48185,Central
LH-16900,Lena Hernandez,Consumer,Dover,Delaware,19901,East
DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150,Central
JM-15265,Janet Molinari,Corporate,New York City,New York,10024,East
TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East
KM-16720,Kunst Miller,Consumer,Los Angeles,California,90004,West
PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,60610,Central
BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West
KD-16270,Karen Daniels,Consumer,Springfield,Virginia,22153,South
HM-14980,Henry Macallister,Consumer,New York City,New York,10009,East
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South
KB-16600,Ken Brennan,Corporate,Houston,Texas,77041,Central
SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South
DN-13690,Duane Noonan,Consumer,San Francisco,California,94122,West
JC-16105,Julie Creighton,Corporate,Durham,North Carolina,27707,South
CS-12400,Christopher Schild,Home Office,Chicago,Illinois,60623,Central
PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central
GM-14455,Gary Mitchum,Home Office,Houston,Texas,77095,Central
JS-15685,Jim Sink,Corporate,Los Angeles,California,90036,West
KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central
RB-19705,Roger Barcio,Home Office,Portland,Oregon,97206,West
PN-18775,Parhena Norris,Home Office,New York City,New York,10009,East
KD-16345,Katherine Ducich,Consumer,San Francisco,California,94122,West
ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,55106,Central
RB-19465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central
GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,55901,Central
LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West
JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,28205,South
PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,60462,Central
